fact_id,fact_text,category,season,region,source,license,season_months,theme_tag
46,Heather (Calluna) produces thixotropic honey prized in Ireland and Scotland; extracting it needs pressing rather than spinning.,Floral & Environmental,Summer,Ireland/Europe,Original content,CC-BY 4.0,Jun–Aug,
47,"Lime trees can produce strong nectar flows in urban Europe, but yields are erratic—location and microclimate rule.",Floral & Environmental,Summer,Ireland/Europe,Original content,CC-BY 4.0,Jun–Aug,
48,"Oilseed rape gives big, fast crops but sets like concrete; extraction timing and room temperature are non-negotiable.",Floral & Environmental,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
49,"Brambles are the quiet workhorse of Irish summers; long, staggered bloom keeps colonies ticking between main flows.",Floral & Environmental,Summer,Ireland/Europe,Original content,CC-BY 4.0,Jun–Aug,
50,Ivy is a vital late pollen and nectar source; it props up winter bees but can clog brood boxes if you don’t manage space.,Floral & Environmental,Autumn,Ireland/Europe,Original content,CC-BY 4.0,Sep–Oct,
51,Phenology beats calendars: track growing degree days and local bloom records rather than copying someone 200 km away.,Floral & Environmental,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
52,Shelter matters on Atlantic coasts; wind exposure can halve foraging hours even on ‘good’ days.,Floral & Environmental,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
53,Urban forage diversity can rival rural; mixed gardens and parks often outclass monocultures for steady nectar.,Floral & Environmental,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
54,Re-wilded margins and hedgerows add nectar continuity; tidy farms often mean hungry bees by August.,Floral & Environmental,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
55,Heather moors require strong colonies and timing; late build-up means you’re hauling boxes for exercise.,Floral & Environmental,Spring,Ireland/Europe,Original content,CC-BY 4.0,Mar–May,
56,Met Éireann-style weather windows dictate supering; a week of rain during peak bloom can erase a month’s prep.,Floral & Environmental,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
57,"Moisture content under ~18% reduces fermentation risk; if it’s borderline, finish honey in a warm room with dehumidification.",Products & Processing,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
58,Crystallisation is normal and driven by glucose content and seed crystals; fine-grain set honey needs controlled cooling and seeding.,Products & Processing,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
59,Heather honey gels due to colloids; pressing frames preserves body and aroma that spinning can’t recover.,Products & Processing,Summer,Ireland/Europe,Original content,CC-BY 4.0,Jun–Aug,
60,Pollen traps reduce yield if overused; run them sparingly and watch colony nutrition like a hawk.,Products & Processing,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
61,Wax rendering is easier if you let cappings drain first; water content affects bricks and mess.,Products & Processing,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
62,"Propolis can be harvested with screens and chilled to flake; markets value clean, low-debris product.",Products & Processing,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
63,Food-grade buckets and traceable batch codes aren’t optional; you’re a food producer the moment you sell a jar.,Products & Processing,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
64,"Warm rooms should be controlled, not improvised; cooked honey tastes like regret and refunds.",Products & Processing,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
65,"Creamed honey quality comes from process control, not additives; start with a fine seed and don’t rush the set.",Products & Processing,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
66,"Label claims invite scrutiny; origin, weight, lot, and best-before must be right to meet EU rules.",Products & Processing,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
67,Beeswax foundations vary; pesticide residues accumulate over years—rotate in clean wax when you can.,Products & Processing,Autumn,Ireland/Europe,Original content,CC-BY 4.0,Sep–Oct,
68,Pollen handling is a hygiene game; dry quickly and store airtight to avoid mould and off-flavours.,Products & Processing,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
69,"Royal jelly production is labour-heavy; unless you have a niche market, it’s a passion project not a profit centre.",Products & Processing,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
70,Honey shows are won on cleanliness and consistency; the judge can’t taste your back-story.,Products & Processing,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
71,"Ireland’s native dark bee, Apis mellifera mellifera, has a long cultural footprint; conservation groups aim to keep its genetics distinct from imports.",History & Culture,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
72,Traditional skep beekeeping shaped early husbandry but harvested by killing colonies; modern practice values stock and sustainability.,History & Culture,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
73,Monastic records across Europe note beeswax for candles; wax quality dictated church lighting long before electricity.,History & Culture,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
74,The ‘bee line’ in folklore reflects straight-line flight to forage sites; reality is more nuanced with orientation loops and drift.,History & Culture,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
75,"In the 19th century, moveable-frame hives transformed management; everything else is a footnote to that invention.",History & Culture,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
76,Irish heather honey has a reputation that predates modern branding; terroir matters because plants and weather do.,History & Culture,Summer,Ireland/Europe,Original content,CC-BY 4.0,Jun–Aug,
77,"Beekeeping guilds historically managed swarms and disputes; today, associations train and lobby for standards.",History & Culture,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
78,War-time sugar rationing forced creative feeding; lessons learned still inform emergency feeding today.,History & Culture,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
79,"Smokers, veils, and gloves improved safety, but selection for gentleness reduced the need for armour over time.",History & Culture,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
80,The European dark bee’s winter thrift aligned with lean forage landscapes; that trait remains valuable under poor flows.,History & Culture,Winter,Ireland/Europe,Original content,CC-BY 4.0,Nov–Feb,
81,Folklore often paints swarms as omens; in practice they’re just reproductive biology and poor timing on the beekeeper’s part.,History & Culture,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
82,"Regional hive patterns—WBC, National, Dadant—reflect climate, materials, and tradition more than bee preference.",History & Culture,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
83,"Market demand for ‘local honey’ surged with food provenance trends; good for prices, unforgiving on quality slips.",History & Culture,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
84,Beekeeping books are full of absolutes; local conditions routinely prove them wrong.,History & Culture,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
85,Festival tastings and farm shops educate customers faster than social media; tasting converts sceptics.,History & Culture,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
86,Varroa control strategies should rotate modes of action to reduce resistance risk; one ‘miracle’ product won’t stay that way.,Sustainability & Science,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
87,Screened bottom boards marginally reduce varroa fall; they are not a treatment—monitoring still matters.,Sustainability & Science,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
88,Breeding for hygienic behaviour reduces mite growth but doesn’t eliminate the need for management in most European contexts.,Sustainability & Science,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
89,"Pesticide exposure is often sub-lethal; effects show up as poor navigation, brood loss, and winter failures months later.",Sustainability & Science,Autumn,Ireland/Europe,Original content,CC-BY 4.0,Sep–Oct,
90,Planting forage mixes beats single wildflower strips; staggered bloom supports steady colony nutrition.,Sustainability & Science,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
91,"Colony losses are multi-factorial—mites, viruses, forage gaps, weather, and beekeeper timing all contribute.",Sustainability & Science,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
92,"Oxalic acid works best on broodless colonies; if you dose through capped brood, expect survivors—mites, not bees.",Sustainability & Science,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
93,Thermal and mechanical varroa devices can help but require strict protocols; sloppy use hurts bees more than mites.,Sustainability & Science,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
94,Migratory beekeeping increases disease mixing; biosecurity and quarantine are unpopular until you find AFB.,Sustainability & Science,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
95,"Citizen-science colony loss surveys help track trends, but local records guide actual decisions on your stands.",Sustainability & Science,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
96,Climate change shifts phenology and de-synchronises bees and bloom; records beat opinions when planning.,Sustainability & Science,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
97,Antibiotics are not routine tools in EU beekeeping; focus on hygiene and proper diagnosis before treatment.,Sustainability & Science,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
98,"Foundationless frames reduce chemical exposure from recycled wax, but management demands more skill and time.",Sustainability & Science,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
99,Comb honey production needs low disease pressure and clean forage to pass residue expectations—your IPM matters.,Sustainability & Science,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
100,Data loggers and hive scales turn hunches into graphs; they won’t fix management but they will expose mistakes fast.,Sustainability & Science,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
101,"Hawthorn often anchors spring forage in Ireland. Weather rules nectar: cool, wet spells can slash yields even when hedgerows look busy.",Floral & Environmental,Spring,Ireland/Europe,EFSA. (2022). Pollinator risk assessment overview.,CC-BY 4.0,Mar–May,#microclimate
102,Swarm prevention starts before cups have jelly; inspect on a 7–9 day cadence when build-up accelerates. A small tweak in timing here usually means fewer interventions later.,Colony Management,Spring,Ireland/Europe,FAO. (2018). Good beekeeping practices.,CC-BY 4.0,Mar–May,#varroa
103,"Fruit Blossom often anchors spring forage in Ireland. Weather rules nectar: cool, wet spells can slash yields even when hedgerows look busy.",Floral & Environmental,Spring,Ireland/Europe,EFSA. (2022). Pollinator risk assessment overview.,CC-BY 4.0,Mar–May,#phenology
104,Brood nest temperature regulation around 34–35°C underpins healthy development. Simple records and a steady routine will beat gadgets and guesswork.,Sustainability & Science,Spring,Ireland/Europe,DAFM. (2024). Bee Health & Biosecurity Advice.,CC-BY 4.0,Mar–May,#science
105,Young nurse bees drive jelly production; protein intake now sets colony trajectory. Simple records and a steady routine will beat gadgets and guesswork.,Sustainability & Science,Spring,Ireland/Europe,NBDC Ireland. (2023). Biodiversity records.,CC-BY 4.0,Mar–May,#biosecurity
106,Early spring honeys are often lighter; moisture control can be tricky in damp spells. Clean kit and consistent temperatures do most of the heavy lifting.,Products & Processing,Spring,Ireland/Europe,BBKA. (2021). Notes for Beekeepers.,CC-BY 4.0,Mar–May,#processing
107,"Hawthorn often anchors spring forage in Ireland. Weather rules nectar: cool, wet spells can slash yields even when hedgerows look busy.",Floral & Environmental,Spring,Ireland/Europe,COLOSS. (2023). Honey bee health guidance.,CC-BY 4.0,Mar–May,#microclimate
108,"Mating success depends on warm, calm afternoons and ample drones. Line-breeding without records just randomises outcomes with a pedigree label.",Queen Rearing & Genetics,Spring,Ireland/Europe,Original content,CC-BY 4.0,Mar–May,#genetics
109,"Brood care is protein-hungry: nurse bees need pollen to make jelly, especially in spring. When protein dips, brood pattern suffers before you notice stores falling.",Bee Biology & Behaviour,Spring,Ireland/Europe,BBKA. (2021). Notes for Beekeepers.,CC-BY 4.0,Mar–May,#biology
110,"Fruit Blossom often anchors spring forage in Ireland. Weather rules nectar: cool, wet spells can slash yields even when hedgerows look busy.",Floral & Environmental,Spring,Ireland/Europe,NBDC Ireland. (2023). Biodiversity records.,CC-BY 4.0,Mar–May,#microclimate
111,Young nurse bees drive jelly production; protein intake now sets colony trajectory. Simple records and a steady routine will beat gadgets and guesswork.,Sustainability & Science,Spring,Ireland/Europe,DAFM. (2024). Bee Health & Biosecurity Advice.,CC-BY 4.0,Mar–May,#sustainability
112,"Mating success depends on warm, calm afternoons and ample drones. Line-breeding without records just randomises outcomes with a pedigree label.",Queen Rearing & Genetics,Spring,Ireland/Europe,Met Éireann. (2024). Irish climatology & phenology.,CC-BY 4.0,Mar–May,#queen
113,"Dandelion often anchors spring forage in Ireland. Weather rules nectar: cool, wet spells can slash yields even when hedgerows look busy.",Floral & Environmental,Spring,Ireland/Europe,BBKA. (2021). Notes for Beekeepers.,CC-BY 4.0,Mar–May,#forage
114,"Mating success depends on warm, calm afternoons and ample drones. Line-breeding without records just randomises outcomes with a pedigree label.",Queen Rearing & Genetics,Spring,Ireland/Europe,COLOSS. (2023). Honey bee health guidance.,CC-BY 4.0,Mar–May,#queen
115,Swarm prevention starts before cups have jelly; inspect on a 7–9 day cadence when build-up accelerates. A small tweak in timing here usually means fewer interventions later.,Colony Management,Spring,Ireland/Europe,Original content,CC-BY 4.0,Mar–May,#swarm
116,"Fruit Blossom often anchors spring forage in Ireland. Weather rules nectar: cool, wet spells can slash yields even when hedgerows look busy.",Floral & Environmental,Spring,Ireland/Europe,FAO. (2018). Good beekeeping practices.,CC-BY 4.0,Mar–May,#weather
117,Balance brood and space to avoid congestion that triggers queen cells. A small tweak in timing here usually means fewer interventions later.,Colony Management,Spring,Ireland/Europe,EFSA. (2022). Pollinator risk assessment overview.,CC-BY 4.0,Mar–May,#varroa
118,Early spring honeys are often lighter; moisture control can be tricky in damp spells. Clean kit and consistent temperatures do most of the heavy lifting.,Products & Processing,Spring,Ireland/Europe,BBKA. (2021). Notes for Beekeepers.,CC-BY 4.0,Mar–May,#processing
119,"Mating success depends on warm, calm afternoons and ample drones. Line-breeding without records just randomises outcomes with a pedigree label.",Queen Rearing & Genetics,Spring,Ireland/Europe,DAFM. (2024). Bee Health & Biosecurity Advice.,CC-BY 4.0,Mar–May,#queen
120,Young nurse bees drive jelly production; protein intake now sets colony trajectory. Simple records and a steady routine will beat gadgets and guesswork.,Sustainability & Science,Spring,Ireland/Europe,COLOSS. (2023). Honey bee health guidance.,CC-BY 4.0,Mar–May,#science
121,"Brood care is protein-hungry: nurse bees need pollen to make jelly, especially in spring. When protein dips, brood pattern suffers before you notice stores falling.",Bee Biology & Behaviour,Spring,Ireland/Europe,DAFM. (2024). Bee Health & Biosecurity Advice.,CC-BY 4.0,Mar–May,#biology
122,Swarm prevention starts before cups have jelly; inspect on a 7–9 day cadence when build-up accelerates. A small tweak in timing here usually means fewer interventions later.,Colony Management,Spring,Ireland/Europe,NBDC Ireland. (2023). Biodiversity records.,CC-BY 4.0,Mar–May,#swarm
123,"Brood care is protein-hungry: nurse bees need pollen to make jelly, especially in spring. When protein dips, brood pattern suffers before you notice stores falling.",Bee Biology & Behaviour,Spring,Ireland/Europe,EFSA. (2022). Pollinator risk assessment overview.,CC-BY 4.0,Mar–May,#biology
124,Swarm prevention starts before cups have jelly; inspect on a 7–9 day cadence when build-up accelerates. A small tweak in timing here usually means fewer interventions later.,Colony Management,Spring,Ireland/Europe,NBDC Ireland. (2023). Biodiversity records.,CC-BY 4.0,Mar–May,#swarm
125,"Fruit Blossom often anchors spring forage in Ireland. Weather rules nectar: cool, wet spells can slash yields even when hedgerows look busy.",Floral & Environmental,Spring,Ireland/Europe,Original content,CC-BY 4.0,Mar–May,#microclimate
126,"Mating success depends on warm, calm afternoons and ample drones. Line-breeding without records just randomises outcomes with a pedigree label.",Queen Rearing & Genetics,Spring,Ireland/Europe,BBKA. (2021). Notes for Beekeepers.,CC-BY 4.0,Mar–May,#breeding
127,Early spring honeys are often lighter; moisture control can be tricky in damp spells. Clean kit and consistent temperatures do most of the heavy lifting.,Products & Processing,Spring,Ireland/Europe,BBKA. (2021). Notes for Beekeepers.,CC-BY 4.0,Mar–May,#honey
128,"Gorse often anchors spring forage in Ireland. Weather rules nectar: cool, wet spells can slash yields even when hedgerows look busy.",Floral & Environmental,Spring,Ireland/Europe,DAFM. (2024). Bee Health & Biosecurity Advice.,CC-BY 4.0,Mar–May,#forage
129,"Brood care is protein-hungry: nurse bees need pollen to make jelly, especially in spring. When protein dips, brood pattern suffers before you notice stores falling.",Bee Biology & Behaviour,Spring,Ireland/Europe,EFSA. (2022). Pollinator risk assessment overview.,CC-BY 4.0,Mar–May,#biology
130,"Mating success depends on warm, calm afternoons and ample drones. Line-breeding without records just randomises outcomes with a pedigree label.",Queen Rearing & Genetics,Spring,Ireland/Europe,BBKA. (2021). Notes for Beekeepers.,CC-BY 4.0,Mar–May,#queen
131,Guilds and associations once settled swarm disputes; today they train and advocate. Local practice still bends to weather and forage more than to fashion.,History & Culture,Spring,Ireland/Europe,Met Éireann. (2024). Irish climatology & phenology.,CC-BY 4.0,Mar–May,#tradition
132,Build colonies on early pollen; weak starts rarely catch peak flows. A small tweak in timing here usually means fewer interventions later.,Colony Management,Spring,Ireland/Europe,COLOSS. (2023). Honey bee health guidance.,CC-BY 4.0,Mar–May,#management
133,Balance brood and space to avoid congestion that triggers queen cells. A small tweak in timing here usually means fewer interventions later.,Colony Management,Spring,Ireland/Europe,EFSA. (2022). Pollinator risk assessment overview.,CC-BY 4.0,Mar–May,#feeding
134,Local ‘straight lines to home’ folklore simplifies reality—orientation loops and drift are normal. Local practice still bends to weather and forage more than to fashion.,History & Culture,Spring,Ireland/Europe,EFSA. (2022). Pollinator risk assessment overview.,CC-BY 4.0,Mar–May,#tradition
135,"Hawthorn often anchors spring forage in Ireland. Weather rules nectar: cool, wet spells can slash yields even when hedgerows look busy.",Floral & Environmental,Spring,Ireland/Europe,COLOSS. (2023). Honey bee health guidance.,CC-BY 4.0,Mar–May,#weather
136,Balance brood and space to avoid congestion that triggers queen cells. A small tweak in timing here usually means fewer interventions later.,Colony Management,Spring,Ireland/Europe,COLOSS. (2023). Honey bee health guidance.,CC-BY 4.0,Mar–May,#feeding
137,Balance brood and space to avoid congestion that triggers queen cells. A small tweak in timing here usually means fewer interventions later.,Colony Management,Spring,Ireland/Europe,DAFM. (2024). Bee Health & Biosecurity Advice.,CC-BY 4.0,Mar–May,#swarm
138,"Willow often anchors spring forage in Ireland. Weather rules nectar: cool, wet spells can slash yields even when hedgerows look busy.",Floral & Environmental,Spring,Ireland/Europe,FAO. (2018). Good beekeeping practices.,CC-BY 4.0,Mar–May,#phenology
139,Build colonies on early pollen; weak starts rarely catch peak flows. A small tweak in timing here usually means fewer interventions later.,Colony Management,Spring,Ireland/Europe,EFSA. (2022). Pollinator risk assessment overview.,CC-BY 4.0,Mar–May,#swarm
140,Young nurse bees drive jelly production; protein intake now sets colony trajectory. Simple records and a steady routine will beat gadgets and guesswork.,Sustainability & Science,Spring,Ireland/Europe,NBDC Ireland. (2023). Biodiversity records.,CC-BY 4.0,Mar–May,#science
141,"Brood care is protein-hungry: nurse bees need pollen to make jelly, especially in spring. When protein dips, brood pattern suffers before you notice stores falling.",Bee Biology & Behaviour,Spring,Ireland/Europe,COLOSS. (2023). Honey bee health guidance.,CC-BY 4.0,Mar–May,#behaviour
142,Irish heather honey has a long-standing reputation; terroir matters as much as technique. Local practice still bends to weather and forage more than to fashion.,History & Culture,Spring,Ireland/Europe,DAFM. (2024). Bee Health & Biosecurity Advice.,CC-BY 4.0,Mar–May,#history
